route_no,time,time_hr,time_min,min
176,01:25 Min,1,25,85
201U,01:25 Min,1,25,85
211F,01:25 Min,1,25,85
211L,01:25 Min,1,25,85
211Q,01:25 Min,1,25,85
213,01:25 Min,1,25,85
213J,01:25 Min,1,25,85
213K,01:25 Min,1,25,85
214A,01:25 Min,1,25,85
214E,01:25 Min,1,25,85
215HB,01:25 Min,1,25,85
222M,01:25 Min,1,25,85
226K,01:25 Min,1,25,85
226N,01:25 Min,1,25,85
226Q,01:25 Min,1,25,85
226R,01:25 Min,1,25,85
227B,01:25 Min,1,25,85
227NA,01:25 Min,1,25,85
227Q,01:25 Min,1,25,85
228H,01:25 Min,1,25,85
231E,01:25 Min,1,25,85
242JK,01:25 Min,1,25,85
245L,01:25 Min,1,25,85
245MA,01:25 Min,1,25,85
248,01:25 Min,1,25,85
248B,01:25 Min,1,25,85
253,01:25 Min,1,25,85
255A,01:25 Min,1,25,85
255F,01:25 Min,1,25,85
255J,01:25 Min,1,25,85
256K,01:25 Min,1,25,85
258C,01:25 Min,1,25,85
258GA,01:25 Min,1,25,85
270HA,01:25 Min,1,25,85
271,01:25 Min,1,25,85
271R,01:25 Min,1,25,85
280F,01:25 Min,1,25,85
282C,01:25 Min,1,25,85
282F,01:25 Min,1,25,85
283B,01:25 Min,1,25,85
283D,01:25 Min,1,25,85
285K,01:25 Min,1,25,85
285MA,01:25 Min,1,25,85
289E,01:25 Min,1,25,85
289M,01:25 Min,1,25,85
290R,01:25 Min,1,25,85
293H,01:25 Min,1,25,85
293M,01:25 Min,1,25,85
298MB,01:25 Min,1,25,85
298MK,01:25 Min,1,25,85
304,01:25 Min,1,25,85
304B,01:25 Min,1,25,85
304T,01:25 Min,1,25,85
305E,01:25 Min,1,25,85
315,01:25 Min,1,25,85
316B,01:25 Min,1,25,85
316C,01:25 Min,1,25,85
316E,01:25 Min,1,25,85
316J,01:25 Min,1,25,85
316N,01:25 Min,1,25,85
317A,01:25 Min,1,25,85
321G,01:25 Min,1,25,85
323A,01:25 Min,1,25,85
323F,01:25 Min,1,25,85
323G,01:25 Min,1,25,85
323H,01:25 Min,1,25,85
323L,01:25 Min,1,25,85
324A,01:25 Min,1,25,85
325A,01:25 Min,1,25,85
327E,01:25 Min,1,25,85
328E,01:25 Min,1,25,85
328G,01:25 Min,1,25,85
328HA,01:25 Min,1,25,85
329H,01:25 Min,1,25,85
333E,01:25 Min,1,25,85
335AA,01:25 Min,1,25,85
342JB,01:25 Min,1,25,85
342R,01:25 Min,1,25,85
345,01:25 Min,1,25,85
345C,01:25 Min,1,25,85
350,01:25 Min,1,25,85
351A,01:25 Min,1,25,85
351H,01:25 Min,1,25,85
352A,01:25 Min,1,25,85
354,01:25 Min,1,25,85
354C,01:25 Min,1,25,85
356F,01:25 Min,1,25,85
356K,01:25 Min,1,25,85
361,01:25 Min,1,25,85
361A,01:25 Min,1,25,85
365,01:25 Min,1,25,85
365D,01:25 Min,1,25,85
366MA,01:25 Min,1,25,85
370,01:25 Min,1,25,85
372F,01:25 Min,1,25,85
375B,01:25 Min,1,25,85
380G,01:25 Min,1,25,85
398B,01:25 Min,1,25,85
401H,01:25 Min,1,25,85
401JA,01:25 Min,1,25,85
401JC,01:25 Min,1,25,85
401Y,01:25 Min,1,25,85
408,01:25 Min,1,25,85
500CA,01:25 Min,1,25,85
502V,01:25 Min,1,25,85
507,01:25 Min,1,25,85
507A,01:25 Min,1,25,85
600CA,01:25 Min,1,25,85
TR-4,01:30 Min,1,30,90
TR-4A,01:30 Min,1,30,90
15A,01:30 Min,1,30,90
61A,01:30 Min,1,30,90
138,01:30 Min,1,30,90
138A,01:30 Min,1,30,90
213F,01:30 Min,1,30,90
213FA,01:30 Min,1,30,90
213G,01:30 Min,1,30,90
213H,01:30 Min,1,30,90
213N,01:30 Min,1,30,90
213Q,01:30 Min,1,30,90
214,01:30 Min,1,30,90
214B,01:30 Min,1,30,90
214H,01:30 Min,1,30,90
216,01:30 Min,1,30,90
221,01:30 Min,1,30,90
221B,01:30 Min,1,30,90
226H,01:30 Min,1,30,90
226U,01:30 Min,1,30,90
227F,01:30 Min,1,30,90
227K,01:30 Min,1,30,90
227RC,01:30 Min,1,30,90
228L,01:30 Min,1,30,90
229D,01:30 Min,1,30,90
231A,01:30 Min,1,30,90
231C,01:30 Min,1,30,90
231L,01:30 Min,1,30,90
240P,01:30 Min,1,30,90
241S,01:30 Min,1,30,90
242TA,01:30 Min,1,30,90
242TD,01:30 Min,1,30,90
242Y,01:30 Min,1,30,90
245A,01:30 Min,1,30,90
248K,01:30 Min,1,30,90
248L,01:30 Min,1,30,90
248R,01:30 Min,1,30,90
251,01:30 Min,1,30,90
251B,01:30 Min,1,30,90
252,01:30 Min,1,30,90
253R,01:30 Min,1,30,90
253W,01:30 Min,1,30,90
254C,01:30 Min,1,30,90
255,01:30 Min,1,30,90
255C,01:30 Min,1,30,90
255E,01:30 Min,1,30,90
258,01:30 Min,1,30,90
258CB,01:30 Min,1,30,90
258CC,01:30 Min,1,30,90
258E,01:30 Min,1,30,90
258G,01:30 Min,1,30,90
258T,01:30 Min,1,30,90
258VD,01:30 Min,1,30,90
263C,01:30 Min,1,30,90
265E,01:30 Min,1,30,90
266,01:30 Min,1,30,90
279F,01:30 Min,1,30,90
282B,01:30 Min,1,30,90
284,01:30 Min,1,30,90
284A,01:30 Min,1,30,90
285C,01:30 Min,1,30,90
285E,01:30 Min,1,30,90
285F,01:30 Min,1,30,90
285H,01:30 Min,1,30,90
285JA,01:30 Min,1,30,90
285L,01:30 Min,1,30,90
285RA,01:30 Min,1,30,90
285w,01:30 Min,1,30,90
285Y,01:30 Min,1,30,90
289C,01:30 Min,1,30,90
289H,01:30 Min,1,30,90
289L,01:30 Min,1,30,90
290,01:30 Min,1,30,90
291K,01:30 Min,1,30,90
293F,01:30 Min,1,30,90
293J,01:30 Min,1,30,90
298C,01:30 Min,1,30,90
298ME,01:30 Min,1,30,90
298Y,01:30 Min,1,30,90
300T,01:30 Min,1,30,90
304L,01:30 Min,1,30,90
304VA,01:30 Min,1,30,90
305,01:30 Min,1,30,90
305A,01:30 Min,1,30,90
305B,01:30 Min,1,30,90
305G,01:30 Min,1,30,90
305H,01:30 Min,1,30,90
305S,01:30 Min,1,30,90
306A,01:30 Min,1,30,90
306C,01:30 Min,1,30,90
306F,01:30 Min,1,30,90
306H,01:30 Min,1,30,90
306J,01:30 Min,1,30,90
306Q,01:30 Min,1,30,90
306T,01:30 Min,1,30,90
308B,01:30 Min,1,30,90
315J,01:30 Min,1,30,90
316A,01:30 Min,1,30,90
316K,01:30 Min,1,30,90
316T,01:30 Min,1,30,90
317B,01:30 Min,1,30,90
317C,01:30 Min,1,30,90
317E,01:30 Min,1,30,90
317T,01:30 Min,1,30,90
318A,01:30 Min,1,30,90
318E,01:30 Min,1,30,90
319,01:30 Min,1,30,90
321C,01:30 Min,1,30,90
321D,01:30 Min,1,30,90
322D,01:30 Min,1,30,90
323E,01:30 Min,1,30,90
323J,01:30 Min,1,30,90
323M,01:30 Min,1,30,90
323N,01:30 Min,1,30,90
327A,01:30 Min,1,30,90
327F,01:30 Min,1,30,90
329C,01:30 Min,1,30,90
342K,01:30 Min,1,30,90
342U,01:30 Min,1,30,90
343E,01:30 Min,1,30,90
344A,01:30 Min,1,30,90
346F,01:30 Min,1,30,90
349K,01:30 Min,1,30,90
350B,01:30 Min,1,30,90
354A,01:30 Min,1,30,90
356B,01:30 Min,1,30,90
360N,01:30 Min,1,30,90
362F,01:30 Min,1,30,90
362S,01:30 Min,1,30,90
365B,01:30 Min,1,30,90
365F,01:30 Min,1,30,90
365N,01:30 Min,1,30,90
365Q,01:30 Min,1,30,90
366,01:30 Min,1,30,90
366BA,01:30 Min,1,30,90
366F,01:30 Min,1,30,90
366R,01:30 Min,1,30,90
366T,01:30 Min,1,30,90
366V,01:30 Min,1,30,90
366W,01:30 Min,1,30,90
369P,01:30 Min,1,30,90
370B,01:30 Min,1,30,90
371D,01:30 Min,1,30,90
372B,01:30 Min,1,30,90
372J,01:30 Min,1,30,90
374MA,01:30 Min,1,30,90
378D,01:30 Min,1,30,90
378G,01:30 Min,1,30,90
380,01:30 Min,1,30,90
380F,01:30 Min,1,30,90
382,01:30 Min,1,30,90
399C,01:30 Min,1,30,90
399D,01:30 Min,1,30,90
401,01:30 Min,1,30,90
401Q,01:30 Min,1,30,90
500DA,01:30 Min,1,30,90
500F,01:30 Min,1,30,90
500QK,01:30 Min,1,30,90
501N,01:30 Min,1,30,90
502K,01:30 Min,1,30,90
506A,01:30 Min,1,30,90
600A,01:30 Min,1,30,90
600C,01:30 Min,1,30,90
G-1,01:35 Min,1,35,95
MBS-8,01:35 Min,1,35,95
74,01:35 Min,1,35,95
94E,01:35 Min,1,35,95
201A,01:35 Min,1,35,95
201S,01:35 Min,1,35,95
211R,01:35 Min,1,35,95
213M,01:35 Min,1,35,95
213QA,01:35 Min,1,35,95
214C,01:35 Min,1,35,95
215Z,01:35 Min,1,35,95
226G,01:35 Min,1,35,95
226V,01:35 Min,1,35,95
227L,01:35 Min,1,35,95
227R,01:35 Min,1,35,95
227U,01:35 Min,1,35,95
227W,01:35 Min,1,35,95
231F,01:35 Min,1,35,95
231J,01:35 Min,1,35,95
231K,01:35 Min,1,35,95
242AA,01:35 Min,1,35,95
242L,01:35 Min,1,35,95
242P,01:35 Min,1,35,95
253E,01:35 Min,1,35,95
253P,01:35 Min,1,35,95
258A,01:35 Min,1,35,95
258AB,01:35 Min,1,35,95
258YA,01:35 Min,1,35,95
281G,01:35 Min,1,35,95
285G,01:35 Min,1,35,95
285N,01:35 Min,1,35,95
285P,01:35 Min,1,35,95
289F,01:35 Min,1,35,95
289R,01:35 Min,1,35,95
291L,01:35 Min,1,35,95
298M,01:35 Min,1,35,95
304D,01:35 Min,1,35,95
304N,01:35 Min,1,35,95
305J,01:35 Min,1,35,95
306L,01:35 Min,1,35,95
317,01:35 Min,1,35,95
317M,01:35 Min,1,35,95
317MA,01:35 Min,1,35,95
322,01:35 Min,1,35,95
322A,01:35 Min,1,35,95
323D,01:35 Min,1,35,95
326E,01:35 Min,1,35,95
327H,01:35 Min,1,35,95
329F,01:35 Min,1,35,95
333,01:35 Min,1,35,95
334E,01:35 Min,1,35,95
340L,01:35 Min,1,35,95
342T,01:35 Min,1,35,95
342V,01:35 Min,1,35,95
342VA,01:35 Min,1,35,95
342WA,01:35 Min,1,35,95
356A,01:35 Min,1,35,95
360Q,01:35 Min,1,35,95
361K,01:35 Min,1,35,95
365W,01:35 Min,1,35,95
371A,01:35 Min,1,35,95
375J,01:35 Min,1,35,95
382B,01:35 Min,1,35,95
383A,01:35 Min,1,35,95
401AC,01:35 Min,1,35,95
401AG,01:35 Min,1,35,95
407,01:35 Min,1,35,95
412,01:35 Min,1,35,95
500G,01:35 Min,1,35,95
507B,01:35 Min,1,35,95
510A,01:35 Min,1,35,95
K-4,01:40 Min,1,40,100
MF-4,01:40 Min,1,40,100
K-5,01:40 Min,1,40,100
FDR-6,01:40 Min,1,40,100
K-6,01:40 Min,1,40,100
65B,01:40 Min,1,40,100
86E,01:40 Min,1,40,100
212B,01:40 Min,1,40,100
213DA,01:40 Min,1,40,100
213P,01:40 Min,1,40,100
213V,01:40 Min,1,40,100
226P,01:40 Min,1,40,100
226S,01:40 Min,1,40,100
227V,01:40 Min,1,40,100
227VB,01:40 Min,1,40,100
242JA,01:40 Min,1,40,100
242X,01:40 Min,1,40,100
251A,01:40 Min,1,40,100
251G,01:40 Min,1,40,100
258K,01:40 Min,1,40,100
258P,01:40 Min,1,40,100
258SA,01:40 Min,1,40,100
258TA,01:40 Min,1,40,100
258TB,01:40 Min,1,40,100
258VB,01:40 Min,1,40,100
258VF,01:40 Min,1,40,100
264,01:40 Min,1,40,100
264A,01:40 Min,1,40,100
266C,01:40 Min,1,40,100
283,01:40 Min,1,40,100
284D,01:40 Min,1,40,100
285CA,01:40 Min,1,40,100
285CB,01:40 Min,1,40,100
285CC,01:40 Min,1,40,100
285R,01:40 Min,1,40,100
289K,01:40 Min,1,40,100
290NA,01:40 Min,1,40,100
298MA,01:40 Min,1,40,100
304H,01:40 Min,1,40,100
304S,01:40 Min,1,40,100
304X,01:40 Min,1,40,100
305P,01:40 Min,1,40,100
306D,01:40 Min,1,40,100
306G,01:40 Min,1,40,100
306S,01:40 Min,1,40,100
317W,01:40 Min,1,40,100
317Z,01:40 Min,1,40,100
322M,01:40 Min,1,40,100
323,01:40 Min,1,40,100
323B,01:40 Min,1,40,100
328B,01:40 Min,1,40,100
330C,01:40 Min,1,40,100
335K,01:40 Min,1,40,100
342L,01:40 Min,1,40,100
342Y,01:40 Min,1,40,100
342Z,01:40 Min,1,40,100
344D,01:40 Min,1,40,100
345E,01:40 Min,1,40,100
349F,01:40 Min,1,40,100
351J,01:40 Min,1,40,100
354B,01:40 Min,1,40,100
355E,01:40 Min,1,40,100
356H,01:40 Min,1,40,100
359A,01:40 Min,1,40,100
360D,01:40 Min,1,40,100
360E,01:40 Min,1,40,100
360P,01:40 Min,1,40,100
366KA,01:40 Min,1,40,100
372G,01:40 Min,1,40,100
377B,01:40 Min,1,40,100
378,01:40 Min,1,40,100
378A,01:40 Min,1,40,100
378F,01:40 Min,1,40,100
380C,01:40 Min,1,40,100
380E,01:40 Min,1,40,100
380H,01:40 Min,1,40,100
381,01:40 Min,1,40,100
381E,01:40 Min,1,40,100
381F,01:40 Min,1,40,100
381G,01:40 Min,1,40,100
399A,01:40 Min,1,40,100
401RD,01:40 Min,1,40,100
407F,01:40 Min,1,40,100
500D,01:40 Min,1,40,100
502D,01:40 Min,1,40,100
502HE,01:40 Min,1,40,100
506,01:40 Min,1,40,100
1E,01:45 Min,1,45,105
FDR-5,01:45 Min,1,45,105
MBS-6,01:45 Min,1,45,105
TR-10,01:45 Min,1,45,105
MBS-17,01:45 Min,1,45,105
201M,01:45 Min,1,45,105
V-201R,01:45 Min,1,45,105
211N,01:45 Min,1,45,105
211RA,01:45 Min,1,45,105
213D,01:45 Min,1,45,105
214G,01:45 Min,1,45,105
214L,01:45 Min,1,45,105
226M,01:45 Min,1,45,105
226VA,01:45 Min,1,45,105
241B,01:45 Min,1,45,105
242MA,01:45 Min,1,45,105
242PA,01:45 Min,1,45,105
242TE,01:45 Min,1,45,105
245H,01:45 Min,1,45,105
248BA,01:45 Min,1,45,105
248M,01:45 Min,1,45,105
253A,01:45 Min,1,45,105
253D,01:45 Min,1,45,105
253T,01:45 Min,1,45,105
258KA,01:45 Min,1,45,105
258Q,01:45 Min,1,45,105
258QA,01:45 Min,1,45,105
258S,01:45 Min,1,45,105
258VA,01:45 Min,1,45,105
258VC,01:45 Min,1,45,105
258W,01:45 Min,1,45,105
285M,01:45 Min,1,45,105
285MK,01:45 Min,1,45,105
289D,01:45 Min,1,45,105
290RA,01:45 Min,1,45,105
297,01:45 Min,1,45,105
297A,01:45 Min,1,45,105
298MG,01:45 Min,1,45,105
301D,01:45 Min,1,45,105
301R,01:45 Min,1,45,105
304E,01:45 Min,1,45,105
304V,01:45 Min,1,45,105
304Z,01:45 Min,1,45,105
305K,01:45 Min,1,45,105
305N,01:45 Min,1,45,105
305R,01:45 Min,1,45,105
306E,01:45 Min,1,45,105
306M,01:45 Min,1,45,105
306MA,01:45 Min,1,45,105
306P,01:45 Min,1,45,105
316D,01:45 Min,1,45,105
316M,01:45 Min,1,45,105
317SA,01:45 Min,1,45,105
317TD,01:45 Min,1,45,105
317V,01:45 Min,1,45,105
317Y,01:45 Min,1,45,105
317YE,01:45 Min,1,45,105
327G,01:45 Min,1,45,105
328HB,01:45 Min,1,45,105
340D,01:45 Min,1,45,105
342F,01:45 Min,1,45,105
MP-342F,01:45 Min,1,45,105
353C,01:45 Min,1,45,105
355D,01:45 Min,1,45,105
358,01:45 Min,1,45,105
360C,01:45 Min,1,45,105
360J,01:45 Min,1,45,105
360K,01:45 Min,1,45,105
360M,01:45 Min,1,45,105
362K,01:45 Min,1,45,105
372A,01:45 Min,1,45,105
372E,01:45 Min,1,45,105
374M,01:45 Min,1,45,105
380B,01:45 Min,1,45,105
381D,01:45 Min,1,45,105
382C,01:45 Min,1,45,105
382D,01:45 Min,1,45,105
383,01:45 Min,1,45,105
383B,01:45 Min,1,45,105
383C,01:45 Min,1,45,105
401J,01:45 Min,1,45,105
401RB,01:45 Min,1,45,105
401Z,01:45 Min,1,45,105
402M,01:45 Min,1,45,105
411B,01:45 Min,1,45,105
500A,01:45 Min,1,45,105
500AB,01:45 Min,1,45,105
502HC,01:45 Min,1,45,105
211M,01:50 Min,1,50,110
213DC,01:50 Min,1,50,110
217,01:50 Min,1,50,110
227BA,01:50 Min,1,50,110
231P,01:50 Min,1,50,110
240J,01:50 Min,1,50,110
253F,01:50 Min,1,50,110
253HC,01:50 Min,1,50,110
253N,01:50 Min,1,50,110
258TC,01:50 Min,1,50,110
258VG,01:50 Min,1,50,110
285MG,01:50 Min,1,50,110
289B,01:50 Min,1,50,110
293D,01:50 Min,1,50,110
297B,01:50 Min,1,50,110
298MC,01:50 Min,1,50,110
304J,01:50 Min,1,50,110
304M,01:50 Min,1,50,110
304P,01:50 Min,1,50,110
305L,01:50 Min,1,50,110
305Q,01:50 Min,1,50,110
317YD,01:50 Min,1,50,110
328H,01:50 Min,1,50,110
342MA,01:50 Min,1,50,110
344E,01:50 Min,1,50,110
355Q,01:50 Min,1,50,110
360H,01:50 Min,1,50,110
370A,01:50 Min,1,50,110
372M,01:50 Min,1,50,110
381H,01:50 Min,1,50,110
381J,01:50 Min,1,50,110
399,01:50 Min,1,50,110
399E,01:50 Min,1,50,110
401MK,01:50 Min,1,50,110
401N,01:50 Min,1,50,110
414,01:50 Min,1,50,110
213Z,01:55 Min,1,55,115
227A,01:55 Min,1,55,115
227VA,01:55 Min,1,55,115
251M,01:55 Min,1,55,115
265,01:55 Min,1,55,115
265A,01:55 Min,1,55,115
285JB,01:55 Min,1,55,115
306B,01:55 Min,1,55,115
317N,01:55 Min,1,55,115
317YA,01:55 Min,1,55,115
342M,01:55 Min,1,55,115
356M,01:55 Min,1,55,115
356Z,01:55 Min,1,55,115
358A,01:55 Min,1,55,115
361C,01:55 Min,1,55,115
365M,01:55 Min,1,55,115
372,01:55 Min,1,55,115
383D,01:55 Min,1,55,115
401B,01:55 Min,1,55,115
401KA,01:55 Min,1,55,115
401T,01:55 Min,1,55,115
500H,01:55 Min,1,55,115
500L,01:55 Min,1,55,115
MP-501A,01:55 Min,1,55,115
12E,02:00 Min,2,0,120
60C,02:00 Min,2,0,120
201L,02:00 Min,2,0,120
213DB,02:00 Min,2,0,120
215ZA,02:00 Min,2,0,120
221L,02:00 Min,2,0,120
226NA,02:00 Min,2,0,120
226SB,02:00 Min,2,0,120
226VB,02:00 Min,2,0,120
226VC,02:00 Min,2,0,120
227UB,02:00 Min,2,0,120
227Z,02:00 Min,2,0,120
227ZA,02:00 Min,2,0,120
228K,02:00 Min,2,0,120
242ZB,02:00 Min,2,0,120
243M,02:00 Min,2,0,120
248J,02:00 Min,2,0,120
248Z,02:00 Min,2,0,120
253K,02:00 Min,2,0,120
256M,02:00 Min,2,0,120
258M,02:00 Min,2,0,120
258SD,02:00 Min,2,0,120
258WA,02:00 Min,2,0,120
275A,02:00 Min,2,0,120
285RB,02:00 Min,2,0,120
304Q,02:00 Min,2,0,120
304R,02:00 Min,2,0,120
316R,02:00 Min,2,0,120
317Q,02:00 Min,2,0,120
317YB,02:00 Min,2,0,120
327C,02:00 Min,2,0,120
365P,02:00 Min,2,0,120
373M,02:00 Min,2,0,120
377A,02:00 Min,2,0,120
380N,02:00 Min,2,0,120
381K,02:00 Min,2,0,120
401K,02:00 Min,2,0,120
401R,02:00 Min,2,0,120
401RA,02:00 Min,2,0,120
401X,02:00 Min,2,0,120
410,02:00 Min,2,0,120
410D,02:00 Min,2,0,120
500AA,02:00 Min,2,0,120
501A,02:00 Min,2,0,120
MBS-24,02:05 Min,2,5,125
219A,02:05 Min,2,5,125
221J,02:05 Min,2,5,125
242W,02:05 Min,2,5,125
253H,02:05 Min,2,5,125
285MF,02:05 Min,2,5,125
500DC,02:05 Min,2,5,125
502A,02:05 Min,2,5,125
K-1,02:10 Min,2,10,130
D-6,02:10 Min,2,10,130
201,02:10 Min,2,10,130
258V,02:10 Min,2,10,130
275B,02:10 Min,2,10,130
366P,02:10 Min,2,10,130
382M,02:10 Min,2,10,130
366Z,02:15 Min,2,15,135
502,02:15 Min,2,15,135
241M,02:20 Min,2,20,140
227M,02:25 Min,2,25,145
382A,02:25 Min,2,25,145
399F,02:25 Min,2,25,145
MBS-21,02:30 Min,2,30,150
240M,02:30 Min,2,30,150
242VC,02:30 Min,2,30,150
258BN,02:30 Min,2,30,150
377,02:30 Min,2,30,150
401E,02:30 Min,2,30,150
411J,02:30 Min,2,30,150
406,02:35 Min,2,35,155
356J,02:40 Min,2,40,160
398H,02:40 Min,2,40,160
407B,02:40 Min,2,40,160
407C,02:40 Min,2,40,160
224E,02:45 Min,2,45,165
240K,02:45 Min,2,45,165
333L,02:50 Min,2,50,170
409A,03:00 Min,3,0,180
201N,03:25 Min,3,25,205
500,03:30 Min,3,30,210
501,03:30 Min,3,30,210
501B,03:30 Min,3,30,210
600,05:15 Min,5,15,315
211U,01:00 Min,1,0,60
211AA,01:15 Min,1,15,75
215NC,01:10 Min,1,10,70
163E,01:25 Min,1,25,85
3F-7,00:40 Min,0,40,40
